Movie,Box_office,Certificate,Release_Data,Run_time,Budget,Genre,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3
a-scandall,    50 Lakhs, A (INDIA),24-Jun-16, 1 HOUR  52 MINUTES,,"Thriller, Romance",Ishaan Trivedi,Reeth Mazumder,Manav Kaul,Abdul Karim,Niraj Sah
munna-mange-memsaab,    1 Lakhs,,,,,,Shareeph Mansuri Saranawala,Ajay Gupta,Ms. Jordiya Anna,Omkar Das Manikpuri,Jordiya Anna
my-husbands-wife,    1 Lakhs,,,,,,Vinod Chhabra,Vinod Chhabra,Alisa Khan,Rakhi Vohra,Rati Agnihotri
haar-jeet1,    1 Lakhs,,,,,,,,Anupam Kher,Reshma Singh,Kabir Bedi
police-officer,    1 Lakhs,,,,,,Ashok Gaikwad,Salim Akhtar,Karisma Kapoor,Jackie Shroff,Todd Howard
munni-metric-pass,    63 Lakhs,,,,,,Suresh Jain,Suresh Jain,Paras Sharma,Poonam Khanna,Kaash Sherawat
yours-truly,    63 Lakhs,,3-May-19, 1 HOUR  24 MINUTES,,Drama,Sanjoy Nag,,Vinay Pathak,Soni Razdan,Pankaj Tripathi
naughty-40,    1 Crores, A (INDIA),29-Apr-11, 1 HOUR  48 MINUTES,₹ 10 CRORES,"Comedy, Drama",Jag Mundhra,Anuj Sharma,Govinda,Anupam Kher,Yuvika Chaudhry
thackeray,    19 Crores,,,,,,Abhijit Panse,Sanjay Raut,Satish Alekar,Nawazuddin Siddiqui,Amrita Rao
humko-deewana-kar-gaye,    14 Crores, U (INDIA),13-Apr-06, 2 HOURS  40 MINUTES,₹ 17 CRORES,"Romance, Drama",Raj Kanwar,Bhushan Kumar,Akshay Kumar,Katrina Kaif,Bipasha Basu
break-ke-baad,    16 Crores, U (INDIA),25-Nov-10, 1 HOUR  58 MINUTES,₹ 22 CRORES,"Comedy, Drama, Romance",Danish Aslam,Kunal Kohli,Deepika Padukone,Imran Khan,Sharmila Tagore
julie-2,    2 Crores,,24-Nov-17, 2 HOURS  39 MINUTES,₹ 8 CRORES,"Drama, Romance, Thriller",Deepak S. Shivdasani,,Dev Gill,Rati Agnihotri,Raai Laxmi
curfew,    2 Crores,,1-Jan-94, 2 HOURS  23 MINUTES,,,,,,,
saansein,    2 Crores, A (INDIA),25-Nov-16, 1 HOUR  41 MINUTES,,"Horror, Romance",Rajiv S. Ruia,Vivek Agrawal,Rajiv S Ruia,Sonarika Bhadoria,Rajniesh Duggall
ok-jaanu,    21 Crores, U/A (INDIA),12-Jan-17, 2 HOURS  17 MINUTES,₹ 27 CRORES,"Drama, Romance",Shaad Ali,Mani Ratnam,Shraddha Kapoor,Naseeruddin Shah,Aditya Roy Kapoor
teri-aankhein-bhool-bhoolaiyan,    21 Crores,,,,,,,,Prashanth Thiagarajan,S Lakshman Kumar,Mohini Bharath
thanedarni,    21 Crores,,,,,,Surinder Kapoor,,Mukesh Khanna,Puneet Issar,Reema Lagoo
future-to-bright-hai-ji,    6 Lakhs,,,,,,Sanjay Amar,Hari Mehrotra,Rahat Kazmi,Neelima Azim,Aamir Bashir
login,    1 Lakhs,,,,,,Sanjeev Reddy,,Himanshu Bhatt,Raadhika Singh,Akkash Basnet
kaise-kahoon-ke-pyaar-hai,    1 Crores,,,,,,Anil Kumaar Sharma,Amar Roy,Dharmendra,Sunny Deol,Farida Jalal
jawani-ki-khushboo,    1 Crores,,,,,,,,Harish,Shakeela,Uma Maheshwari
jurm,    4 Crores,,,,,,Mahesh Bhatt,Bharat S Shah,Vinod Khanna,Sangeeta Bijlani,Meenakshi Sheshadri
zubaan,    38 Lakhs, U/A (INDIA),4-Mar-16, 1 HOUR  55 MINUTES,₹ 8 CRORES,"Drama, Musical, Romance",Mozez Singh,Guneet Monga,Abhimanyu Garg,Preeti Gupta,Sarah Jane Dias
main-tera-aashiq,    38 Lakhs,,,,,,,,Monica Bedi,Saahil Chadha,
jaane-jigar,    71 Lakhs,,,,,,Talat Jani,Br Sahni,Arshad Khan,Jackie Shroff,Manek Bedi
deewana-mujh-sa-nahin,    1 Crores,,,,,,Nageshwara Rao Y.,Ajit Parshotam,M. Parvez,Nageshwara Rao Y,Aamir Khan
kali-salwar,    1 Crores,,,,,,Fareeda Mehta,,Farida Mehta,Irrfan Khan,Kay Kay Menon
lovecom1,    16 Lakhs,,,,,,,,Shibani Kashyap,Farid Amiri,Mumaith Khan
ram-ki-janmabhoomi1,    1 Lakhs,,,,,,Sanoj Mishra,Waseem Rizvi,Govind Namdev,Nazneen Patni,Manoj Joshi
kaun-kare-kurbanie,    1 Lakhs,,,,,,,,Govinda,Dharmendra,Bhavana
rafoo-chakkar-fun-on-the-run,    1 Lakhs,,,,,,B.h. Tharun Kumar,,Bh Tharun Kumar,Nauheed Cyrusi,Sadashiv Amrapurkar
from-sydney-with-love,    24 Lakhs,,,,,,Prateek Chakravorthy,Prateek Chakravorthy,Reshmi Ghosh,Bidita Bag,Sabyasachi Chakraborty
sheen,    12 Lakhs,,7-May-04, 2 HOURS  35 MINUTES,₹ 75 LAKHS,"Action, Drama",Ashoke Pandit,,Ashoke Pandit,Tarun Arora,Raj Babbar
deewana-main-deewana,    32 Lakhs,,,,,,K.c. Bokadia,Amit Bokadia,Kc Bokadia,Priyanka Chopra,Govinda
prem-yog,    81 Lakhs,,,,,,Rajeev Kumar,,Rishi Kapoor,Shammi Kapoor,Mohnish Bahl
rajadurai,    81 Lakhs,,,,,,Sa Chandrasekhar,As Ibrahim Rowthar,Jayasudha,Vijayakanth,Jayasudha
teri-talash-mein,    81 Lakhs,,,,,,Vinod Talwar,,Amala Akkineni,Rita Bhaduri,Anil Dhawan
khoon-ka-sindoor,    81 Lakhs,,,,,,Ambrish Sangal,,Sadashiv Amrapurkar,Siddharth,Gajendra Chouhan
dilwale-kabhi-na-hare,    81 Lakhs,,,,,,V Menon,,Nagma Sadanah,Rahul Roy,Pankaj Berry
madhubala,    81 Lakhs,,,,,,Shivram Yadav,Shivram Yadav,Milind Gunaji,Aditi Govitrikar,Sameer Dharmadhikari
prassthanam1,    5 Crores, U/A (INDIA),20-Sep-19, 2 HOURS  21 MINUTES,₹ 39 CRORES,"Action, Drama",Katta Deva,,Amyra Dastur,Satyajeet Dubey,Sanjay Dutt
kyaa-dil-ne-kahaa,    4 Crores,,,,,,Sanjay Chhel,Ravi Kishan Shukla,Rajesh Khanna,Anupam Kher,Dilip Tadeshwar
professor-ki-padosan,    2 Lakhs,,,,,,Shantilal Soni,Kant Kumar,Amitabh Bachchan,Sanjeev Kumar,Asha Parekh
kaise-kaise-rishte,    4 Lakhs,,,,,,Akash Mehra,,Ayesha Jhulka,Sonam Murad,Rohini Hattangadi
gunwali-dulhaniya,    4 Lakhs,,,,,,Shantanu Anant Tambe,Sarika Vinod Tambe,Gajendra Chouhan,Kanchan Awasthi,Brijendra Kala
abbas,    96 Lakhs,,,,,,Rajesh Kumar Singh,Raju Mavani,Negar Khan,Nina Kulkarni,Shawar Ali
22-yards,    3 Lakhs,,15-Mar-19,,,Sport,Mitali Ghoshal,Surya Sinha,Barun Sobti,Panchi Bora,Pallavi Chatterjee
happy-husbands,    38 Lakhs, A (INDIA),25-Mar-11, 2 HOURS  14 MINUTES,₹ 3 CRORES,"Comedy, Drama",Jaiveer,Suresh Sharma,Jai Veer,Anay,Mohit Ghai
aandha-intaquam,    38 Lakhs,,,,,,Swaroop Kumar,,Sadashiv Amrapurkar,Siddharth,Ronit Roy
i-know-you,    38 Lakhs,,,,,,Jayveer Panghaal,,Sanjeev Pandey,Nishant Bhardwaj,Akhilesh Verma
rajdhani-express,    28 Lakhs, U (INDIA),4-Jan-13, 2 HOURS  20 MINUTES,₹ 6 CRORES,"Action, Drama, Thriller, Crime",Ashok Kohli,Rajesh Patel,Jimmy Shergill,Puja Bose,Nishant Balgovind
lady-inspector-renuka,    28 Lakhs,,,,,,,,Bhanupriya,Suman,Mahesh Anand
rangbaaz3,    2 Crores,,,,,,Kanti Shah,,Mithun Chakraborty,Paresh Rawal,Mohan Joshi
laaga-chunari-mein-daag-journey-of-a-woman,    17 Crores, U/A (INDIA),12-Oct-07, 2 HOURS  19 MINUTES,₹ 20 CRORES,"Drama, Family, Romance",Pradeep Sarkar,Aditya Chopra,Rani Mukerji,Abhishek Bachchan,Anupam Kher
yeh-hai-gaddar,    17 Crores,,,,,,,,Venkatesh Daggubati,Nagma Sadanah,Suman
shuruaat,    17 Crores,,,,,,,,Utpal Dutt,Kanwaljit Singh,Aruna Irani
benny-and-babloo,    7 Lakhs,,,,,,Yunus Sajawal,,Richa Chadda,Kay Kay Menon,Nandini Jumani
dhoom-dadakka,    1 Crores,,,,,,Shashi Ranjan,,Jackie Shroff,Anupam Kher,Sammir Dattani
kohra,    8 Crores,,,,,,Biren Nag,Hemanta Mukherjee,Mukesh,Waheeda Rehman,Ayesha Jhulka
keemat-they-are-back,    8 Crores,,,,,,Sameer Malkan,Ganesh Jain,Akshay Kumar,Saif Ali Khan,Anupam Kher
geet,    8 Crores,,,,,,Partho Ghosh,Nilima Paul,Laxmikant Berde,Avinash Wadhawan,Anil Dhawan
buddha-mar-gaya,    2 Crores, U (INDIA),17-Aug-07, 1 HOUR  33 MINUTES,₹ 3 CRORES,Comedy,Rahul Rawail,Sunil Lulla,Anupam Kher,Jitender Bhargava,Heenaa Biswas
kaalia3,    2 Crores,,,,,,Sunil Bohra,,Mithun Chakraborty,Mukesh Babu,Dipti Bhatnagar
udanchhoo,    5 Lakhs, U/A (INDIA),18-May-18, 2 HOURS  3 MINUTES,,"Comedy, Drama",Vipin Parashar,Ravindra Singh,Rajniesh Duggall,Prem Chopra,Anil George
sallu-ki-shaadi,    2 Lakhs, U/A (INDIA),8-Dec-17, 1 HOUR  49 MINUTES,,"Romantic comedy, Romance",Mohammed Israr Ansari,Ratnakar Kumar,Vishwa Bhanu,Govardhan Asrani,Kiran Kumar
sargoshiyan,    0 Lakhs, U (INDIA),26-May-17, 1 HOUR  51 MINUTES,,Drama,Imran Khan,Imran Khan,Indraneil Sengupta,Hasan Zaidi,Sara Khan
chaarfutiya-chhokare,    11 Lakhs, U/A (INDIA),26-Sep-14, 1 HOUR  59 MINUTES,₹ 3 CRORES,"Drama, Thriller",Manish Harishankar,Sunill Khosla,Harsh Mayar,Seema Biswas,Soha Ali Khan
sapne-sajan-ke,    11 Lakhs,,,,,,Lawrence D'souza,Sudhakar Bokade,Karisma Kapoor,Jackie Shroff,Dimple Kapadia
amaavas,    3 Crores,,7-Feb-19,,₹ 2 CRORES,"Horror, Drama, Romance, Thriller",Sidharth Srinivasan,Sujit Kumar Singh,Nargis Fakhri,Tara Sharma,Raina Sachiin Joshi
bombay-rose1,    3 Crores,,,,,,,,Chhaya Kadam,Amarjeet Jha,Makrand Deshpande
behen-hogi-teri,    2 Crores, U/A (INDIA),9-Jun-17, 2 HOURS  8 MINUTES,₹ 13 CRORES,"Comedy, Drama, Romantic comedy",Ajay K Pannanlal,Tony D Souza,Rajkummar Rao,Shruti Haasan,Gautam Gulati
laal-dupatta-malmal-ka-1989-video,    2 Crores,,,,,,Ravinder Peepat,,Ravindra Peepat,Saahil Chadha,Radha Asrani
sangram,    2 Crores,,,,,,Lawrence D'souza,Lawrence D'souza,Ajay Devgan,Karisma Kapoor,Laxmikant Berde
insaniyat1,    5 Crores,,,,,,Tony Juneja,,Amitabh Bachchan,Sunny Deol,Anupam Kher
miss-teacher,    81 Lakhs,,,,,,Jai Prakash,Sanjay Singh Rajput,Adi Irani,Mustaq Khan,Ashwin Kaushal
qatil-haseeno-ka,    6 Lakhs,,,,,,K. Shivram,Dharmesh Jaitley,K Shivrama Karanth,Arya,Aparna Bera
naag-lok,    6 Lakhs,,,,,,,,Ramya Krishnan,Vivek,Vadivelu
raja-ko-rani-se-pyar-ho-gaya,    6 Lakhs,,,,,,Rajeev Kumar,,Tk Rajeev Kumar,Manisha Koirala,Jackie Shroff
the-lion-guard-return-of-the-roar,    6 Lakhs,,,,,,,,,,
aashique-mastane,    88 Lakhs,,,,,,,,Monica Bedi,Mohnish Bahl,Ayesha Jhulka
double-boss,    88 Lakhs,,,,,,R Raghuraj,,Raghu Raj,Darshan Thoogudeep,Navya Nair
yash,    35 Lakhs,,,,,,,,,,
mohabbat-ki-kasam-m,    35 Lakhs,,,,,,,,Rajesh Khanna,Dharmendra,Vinod Mehra
banaras,    35 Lakhs,,,,,,Nemom Pushparaj,Mr Nair,Navya Nair,Kavya Madhavan,Devan Sreenivasan
bhai-thakur,    13 Lakhs,,,,,,L Raja,,Willy,Dharmendra,Siddique Durrani
maya,    1 Crores,,,,,,Ketan Mehta,Ketan Mehta,Shah Rukh Khan,Farooq Shaikh,Raj Babbar
paraya-ghar,    1 Crores,,,,,,Kalpataru,,Rishi Kapoor,Raj Babbar,Jaya Prada
anubhav-an-experience,    1 Crores,,,,,,Sandeep Kumar,,Sandeep Kumar,Afrin,Paresh Rawal
mulaqaat,    1 Lakhs,,,,,,Ravi Shankar,Shanoo Mehra,Jackie Shroff,Vinay Anand,Ushma Rathod
mohabbat-ki-aag1,    1 Lakhs,,,,,,K.r. Reddy,,Kr Reddy,Govinda,Poonam Dhillon
shivanaga,    1 Lakhs,,,,,,K.s.r. Doss,,Malasri,Arjun Sarja,Doddanna
meena-bazar,    1 Lakhs,,,,,,P Chandra Kumar,,Om Puri,Poonam Dasgupta,Rupa Ganguly
allah-ke-banday,    1 Lakhs, A (INDIA),26-Nov-10, 2 HOURS  11 MINUTES,₹ 5 CRORES,"Action, Crime, Drama, Thriller",Faruk Kabir,Ravi Walia,Naseeruddin Shah,Sharman Joshi,Atul Kulkarni
dil-ka-doctor,    1 Lakhs,,,,,,Avtar Bhogal,Avtar Bhogal,Anupam Kher,Nimai Bali,Mahmud Babai
mangni,    1 Lakhs,,,,,,B.r. Ishara,,Shammi Kapoor,Saahil Chadha,Pallavi Joshi
radio-love-on-air,    1 Lakhs,,,,,,Ishaan Trivedi,Ravi Agrawal,Paresh Rawal,Zakir Hussain,Shenaz Treasurywala
3-bachelors,    15 Lakhs,,,,,,Ajai Sinha,Pramod Sharma,Sharman Joshi,Nigaar Khan,Raima Sen
perfect-plan,    3 Lakhs,,,,,,Yusuf Qasmi,Ad Jain,Raza Murad,Tushar Bankar,Yusuf Qasimi
dand-nayak,    1 Crores,,,,,,Sikander Bharti,Lokesh Bali,Naseeruddin Shah,Manek Bedi,Tisca Chopra
madmast-barkhaa,    6 Lakhs,,,,,,Jaspal Singh,Jaspal Singh,Ekaansh Bhaardwaaj,Ashish Joshi,Leena Kapoor
laadla,    7 Crores,,,,,,Raj Kanwar,Nitin Manmohan,Anil Kapoor,Sridevi Kapoor,Anupam Kher
the-real-angaar,    7 Crores,,,,,,,,Venkatesh Daggubati,Aparna,
room-the-mystery,    7 Lakhs,,,,,,Faisal Khan,Anil Kabra,Faizal Khan,Smita Kundu,Amol Ramchandra Dere
men-not-allowed,    23 Lakhs,,,,,,Shrey Srivastava,,Monica Castelino,Tarun Arora,Divya Divedi
x-ray-the-inner-image,    23 Lakhs,,,,,,Rajiv S Ruia,Pradeep K Sharma,Yaashi Kapoor,Rahul Sharma,Rahul Sharma
pyaasa,    47 Lakhs,,,,,,A. Muthu,Ramesh J Sharma,Anil Mattoo,Aftab Shivdasani,Smita Jaykar
ab-ke-baras,    3 Crores,,,,,,Raj Kanwar,Raj Kanwar,Amrita Rao,Arya Babbar,Danny Denzongpa
blackmail2,    19 Crores,,,,,,Anil Devgan,Narendra Bajaj,Priyanka Chopra,Ajay Devgan,Sunil Shetty
yudhpath,    19 Crores,,,,,,Ravi Ravan Kathuria,Javed Riaz,Mohnish Bahl,Siddharth,Sudesh Berry
balwinder-singh-famous-ho-gaya,    42 Lakhs, U/A (INDIA),26-Sep-14, 2 HOURS  16 MINUTES,₹ 7 CRORES,"Comedy, Musical",Sunil Agnihotri,Mika Singh,Sunil Agnihotri,Anupam Kher,Sunny Leone
ramaa-the-saviour,    0 Lakhs,,,,,,Hadi Abrar,Abdul Aziz Barudgar,Meghan Jadhav,Sahil Khan,Tanushree Dutta
kaalo,    22 Lakhs, A (INDIA),17-Dec-10, 1 HOUR  19 MINUTES,₹ 4 CRORES,"Action, Drama, Horror",Wilson Louis,Mamta Patnaik,Raj Arjun,Sheela David,Tripta Parashar
hogaya-dimaagh-ka-dahi,    16 Lakhs, U/A (INDIA),16-Oct-15, 2 HOURS  4 MINUTES,,"Comedy, Drama",Fauzia Arshi,Fauzia Arshi,Om Puri,Rajesh Bakshi,Rajpal Yadav
ada-a-way-of-life-m,    20 Lakhs,,,,,,Tanvir Ahmed,Kazaan Ahmad,Nauheed Cyrusi,Milind Gunaji,Ayesha Jhulka
mr-white-mr-black,    2 Crores, U/A (INDIA),2-May-08, 2 HOURS  10 MINUTES,₹ 11 CRORES,"Action, Comedy, Crime, Drama",Deepak S. Shivdasani,,Deepak S Shivdasani,Sunil Shetty,Arshad Warsi
badnaam-rishte,    2 Crores,,,,,,,,Nalinikanth,Varalakshmi G.,Ravi Varma
baarish-aur-chowmein,    2 Crores,,,,,,,,Taapsee Pannu,Vidyut Jamwal,Amit Sadh
cabaret,    2 Crores, A (INDIA),9-Jan-19, 3 HOURS  0 MINUTE,,"Drama, Musical, Thriller, Romance",Kaustav Narayan Niyogi,Bhushan Kumar,Gulshan Devaiah,Richa Chadda,Akshay Anand
the-past,    39 Lakhs, A (INDIA),11-May-18, 2 HOURS  2 MINUTES,,"Drama, Horror",Gagan Puri,Jaspal Singh,Deepti Pujari,Yuvraj Parashar,Mahendra Raut
autohead,    39 Lakhs,,,,,,Rohit Mittal,,Adamya,Sunny Banerjee,Ronjini Chakroborty
malaal1,    3 Crores, U/A (INDIA),4-Jul-19, 2 HOURS  16 MINUTES,₹ 16 CRORES,"Action, Romance, Drama",Mangesh Hadawale,Sanjay Leela Bhansali,Sameer Dharmadhikari,Sanjay Gurbaxani,Ishwak Singh
miss-india-the-mystery,    3 Crores,,,,,,Pradeep Maini,Suresh Sharma,Neha Dhupia,Om Puri,Madhu Sharma
mirchi-malini,    3 Crores,,,,,,,,Neha Chauhan,Tara-alisha Berry,Shraddha Das
chiranjeevi1,    3 Crores,,,,,,Ravi Raja Pinisetty,,Chiranjeevi,Radha Rajasekaran Nair,Vijayashanti Prasad
kudiyon-ka-hai-zamaana,    3 Crores,,,,,,Amar Butala,Amar Butala,Rekha Ganesan,Mahima Choudhary,Sachin Khedekar
pyaar-ka-saudagar,    3 Crores,,,,,,Kalidas J,,Sadashiv Amrapurkar,Moon Moon Sen,Abhi Bhattacharya
laali-ki-shaadi-mein-laaddoo-deewana,    89 Lakhs, U/A (INDIA),7-Apr-17, 2 HOURS  10 MINUTES,,"Comedy, Drama, Musical, Romance, Romantic comedy",Manish Harishankar,Rahul Aggarwal,Akshara Haasan,Gurmeet Choudhary,Ravi Kishan Shukla
aaja-sanam1,    13 Lakhs,,,,,,K Pappu,,Pappu Verma,Anil Kapoor,Karisma Kapoor
saboot-mangta-hain-kanoon,    13 Lakhs,,,,,,Suraj Prakash,,Shashi Kapoor,Raj Babbar,Bharat Bhushan
om-jai-jagadish,    6 Crores,,,,,,Anupam Kher,Anupam Kher,Abhishek Bachchan,Anil Kapoor,Fardeen Khan
insaaf-ka-khoon,    6 Crores,,,,,,,,Asha Parekh,Rajendra Kumar Tuli,Prem Chopra
bhediyon-ka-samooh-a-pack-of-wolves,    6 Crores,,,,,,,,M.b. Padmakumar,Shivaji Satam,Mohan Choti
swaha-hindi-dubbed,    4 Lakhs,,,,,,,,Ishrat Ali,Shekar Shukla,Atul Parchure
janasheen,    9 Crores,,,,,,Feroz Khan,Feroz Khan,Fardeen Khan,Celina Jaitly,Hazel Croney
kheer,    7 Lakhs,,,,,,,,Anupam Kher,Natasha Rastogi,Stuti Dixit
khamoshh-khauff-ki-raat,    72 Lakhs,,,,,,Deepak Tijori,Deepak Tijori,Juhi Chawla,Shilpa Shetty Kundra,Makrand Deshpande
dhanwaan,    1 Crores,,,,,,K. Viswanath,Sudhakar Bokade,K Vishwanath,Ajay Devgan,Manisha Koirala
anamika3,    17 Lakhs,,,,,,Anant Mahadevan,Bhanwarlal Sharma,Minissha Lamba,Dino Morea,Aarti Chhabria
hawa,    2 Crores,,,,,,Guddu Dhanoa,Guddu Dhanoa,Tabu Hashmi,Hansika Motwani,Mukesh Tiwari
simran,    14 Crores, U/A (INDIA),14-Sep-17, 2 HOURS  5 MINUTES,₹ 28 CRORES,"Crime, Drama, Romance, Thriller",Hansal Mehta,Bhushan Kumar,Kangana Ranaut,Rupinder Nagra,Aneesha Joshi
the-revenge-of-robert,    14 Crores,,,,,,,,Lee Bane,Judith Haley,Gareth Lawrence
aar-ya-paar,    2 Crores,,,,,,Ketan Mehta,,Jackie Shroff,Mamik,Paresh Rawal
agnichakra,    55 Lakhs,,,,,,Ketan Anand,Mahesh Bhatt,Amit Suryavanshi,Govinda,Naseeruddin Shah
chhota-bheem-aur-krishna-2008-tv-movie,    55 Lakhs,,,,,,Rajiv Chilaka,,Raj Mohan Sinha,Sunil Kaushik,
king-uncle,    55 Lakhs,,,,,,Rakesh Roshan,Rakesh Roshan,Shah Rukh Khan,Jackie Shroff,Deb Mukherjee
ek-hi-raasta,    55 Lakhs,,,,,,Deepak Bahry,,Ajay Devgan,Raveena Tandon,Mohnish Bahl
mental,    55 Lakhs,,23-Jan-14, 1 HOUR  46 MINUTES,,"Action, Crime, Drama, Romance",Sohail Khan,,Salman Khan,Tabu Hashmi,Sunil Shetty
out-of-control,    4 Crores,,21-Nov-03, 2 HOURS  4 MINUTES,₹ 5 CRORES,"Comedy, Drama, Romance",Apurva Asrani,Vashu Bhagnani,Ramanjit Juneja,Riteish Deshmukh,Hrishitaa Bhatt
shirdi-sai-baba,    4 Crores,,,,,,Deepak Balraj Vij,Aushim Khetarpal,Dharmendra,Shammi Kapoor,Alka Kubal
aag-aur-shabab,    4 Crores,,,,,,,,Ravi Kumar,Captain Raju,Madhuri
2001-do-hazaar-ek,    4 Crores,,,,,,Raj N. Sippy,,Tabu Hashmi,Jackie Shroff,Dimple Kapadia
parampara,    4 Crores,,,,,,Yash Chopra,Firoz Nadiadwala,Aamir Khan,Saif Ali Khan,Sunil Dutt
machalta-shabab,    4 Crores,,,,,,,,Captain Raju,Disco Shanti,Shyamala
ladies-tailor,    37 Lakhs,,,,,,R Udaykanth,Mamidala Srinivas,Hina Tasleem,Rajpal Yadav,Kim Sharma
bas-ek-pal,    61 Lakhs, U/A (INDIA),15-Sep-06, 2 HOURS  30 MINUTES,₹ 4 CRORES,"Drama, Romance, Thriller",Onir Dhar,Shailesh R Singh,Juhi Chawla,Jimmy Shergill,Purab Kohli
college-girl2,    29 Lakhs,,,,,,Surendra Gupta,,Veerendra Singh,Pankaj Berry,Rajni Bala
the-dark-side-of-life-mumbai-city1,    29 Lakhs, U/A (INDIA),23-Nov-18, 2 HOURS  4 MINUTES,,Drama,Tariq Khan,Rajesh Pardasani,Kay Kay Menon,Nikhil Ratnaparkhi,Deep Raj Rana
love,    29 Lakhs,,15-Nov-91, 2 HOURS  32 MINUTES,,"Romance, Action, Drama, Musical",Suresh Krissna,Shyam Bajaj,Salman Khan,Revathi,Rita Bhaduri
din-dahade,    29 Lakhs,,,,,,Yash Chouhan,,Vikram Gokhale,Alok Nath,Sripradha
ranbanka,    14 Lakhs, U/A (INDIA),6-Nov-15, 1 HOUR  38 MINUTES,,"Action, Thriller, Drama",Aryeman Ramsay,Ajay Yadav,Pooja Thakur,Rudra Kaushik,Ravi Kishan Shukla
beiimaan-love,    2 Crores, A (INDIA),14-Oct-16, 2 HOURS  0 MINUTE,,"Drama, Romance, Thriller",Rajeev Chaudhari,Rajeev Chaudhari,Ziesha Nancy,Rajiv Verma,Gaelyn Mendonca
zakhmi-kali,    2 Crores,,,,,,,,Radha Rajasekaran Nair,Anuradha Krishna Kumar,
love-breakups-zindagi,    1 Crores, U/A (INDIA),7-Oct-11, 2 HOURS  36 MINUTES,₹ 10 CRORES,"Comedy, Drama, Romance",Sahil Sangha,Dia Mirza,Sahil Sangha,Shah Rukh Khan,Riteish Deshmukh
pyaar-ka-toofan,    1 Crores,,,,,,Sm Iqbal,,Arvind Joshi,Jamuna Rao,Aditya Pancholi
yea-toh-two-much-ho-gayaa,    1 Crores, U/A (INDIA),2-Sep-16, 2 HOURS  4 MINUTES,,"Action, Drama, Comedy",Anwer Khan,Ali Unwala,Jimmy Shergill,Arbaaz Khan,Bruna Abdullah
kamsin-haseena,    1 Crores,,,,,,,,Rita Bhaduri,Abhilasha,Shafiq
mohabbat1,    5 Crores,,,,,,Reema Rakesh Nath,Rakesh Nath,Madhuri Dixit,Akshaye Khanna,Farooq Shaikh
chintu-ji,    5 Crores,,4-Sep-09, 1 HOUR  55 MINUTES,,"Comedy, Drama",Ranjit Kapoor,Bobby Bedi,Rishi Kapoor,Priyanshu Chatterjee,Kulraj Randhawa
rush1,    3 Crores, U/A (INDIA),25-Oct-12, 2 HOURS  3 MINUTES,₹ 18 CRORES,"Crime, Thriller, Action",Shamin Desai,Mohammed Fasih,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia
kasam-dhande-ki,    3 Crores,,,,,,Gautam Bhatia,,Hemant Birje,Vijayata Pandit,Gulshan Grover
market,    2 Crores,,,,,,Jay Prakash,Atif Khan,Manisha Koirala,Makrand Deshpande,Suman Ranganathan
sabki-bajegi-band,    23 Lakhs, A (INDIA),1-May-15, 1 HOUR  48 MINUTES,,"Comedy, Drama",Anirudh Chawla,Yusuf Shaikh,Jhanvi Desai,Alekh Sangal,Swara Bhaskar
rajoo-dada,    23 Lakhs,,,,,,D.s. Azad,,Mithun Chakraborty,Vijayendra Ghatge,Kajal Kiran
sweetiee-weds-nri,    14 Lakhs, U/A (INDIA),2-Jun-17, 1 HOUR  56 MINUTES,,"Comedy, Drama, Romance",Hasnain Hyderabadwala,Tariq Mohammad,Himansh Kohli,Darshan Jariwala,Kiran Juneja
bhoot-returns,    4 Crores, U/A (INDIA),12-Oct-12, 1 HOUR  25 MINUTES,₹ 7 CRORES,"Horror, Thriller, Mystery, Drama",Ram Gopal Varma,Nitin Manmohan,Manisha Koirala,J.d. Chakravarthi,Alayana Sharma
man-on-mission-jaanbaaz1,    4 Crores,,,,,,,,Mohan Babu Manchu,Raghu Babu,
baaz-a-bird-in-danger,    4 Crores,,,,,,Tinnu Verma,Tinnu Verma,Karisma Kapoor,Jackie Shroff,Sunil Shetty
a-strange-love-story,    15 Lakhs,,,,,,Sahil Seth,Suresh Bhagat,Tarique Khan,Milind Gunaji,Gunjan Bakshi
rajma-chawal,    15 Lakhs,,,,,,Leena Yadav,Gulab Singh Tanwar,Rishi Kapoor,Amyra Dastur,Raja Hasan
chhota-sa-ghar,    11 Lakhs,,,,,,,,,,
hawaizaada,    3 Crores, U (INDIA),29-Jan-15, 2 HOURS  37 MINUTES,₹ 34 CRORES,"Biography, Drama, Fantasy",Vibhu Puri,Vibhu Puri,Mithun Chakraborty,Ayushmann Khurrana,Krutika Deo
phir-teri-kahani-yaad-aayee,    3 Crores,,,,,,Mahesh Bhatt,Bharat S Shah,Pooja Bhatt,Rahul Roy,Arun Bakshi
mere-dost-picture-abhi-baki-hai,    3 Crores, U/A (INDIA),20-Jul-12, 2 HOURS  3 MINUTES,,"Comedy, Drama",Rajnish Raj Thakur,,Rajnish Thakur,Sunil Shetty,Udita Goswami
munnibai,    1 Crores,,,,,,Kanti Shah,,Dharmendra,Durgesh Nandini,Reena Kapoor
dilbar,    45 Lakhs,,,,,,B. Krishna Rao,Nm Ghori,B Krishna Rao,Laxmikant Berde,Mamta Kulkarni
