Movie,Box_office,Certificate,Release_Data,Run_time,Budget,Genre,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3
mohini6,    8 Crores,,1-Jan-94,,,"Drama, Thriller",,,Mohan Agashe,Madhoo,Sudesh Berry
beauty-the-beast,    8 Crores,,,,,,Bill Condon,David Hoberman,Ewan Mcgregor,Josh Gad,Emma Watson
kachche-dhaage,    16 Crores,,,,,,Milan Luthria,Ramesh Sadhuram Taurani,Ajay Devgan,Saif Ali Khan,Manisha Koirala
phool-aur-kaante,    12 Crores,,,,,,Sandesh Kohli,Dinesh Patel,Ajay Devgan,Madhoo,Aruna Irani
umrika,    0 Lakhs, U (INDIA),29-Jul-15, 1 HOUR  38 MINUTES,,"Comedy, Drama",Prashant Nair,Manish Mundra,Aashish Bhatt,Uplaksh Kochhar,Mayur More
mukhbiir,    16 Lakhs,,22-Aug-08, 2 HOURS  12 MINUTES,₹ 3 CRORES,"Crime, Drama, Mystery, Thriller",Mani Shankar,Sudhish Ram Medhla,Jackie Shroff,Sunil Shetty,Sammir Dattani
garv-pride-and-honour,    20 Crores, A (INDIA),9-Jul-04, 2 HOURS  42 MINUTES,₹ 8 CRORES,"Action, Crime, Drama, Thriller",Puneet Issar,Prem Krishan,Salman Khan,Anupam Kher,Nimai Bali
majaz-ae-gham-e-dil-kya-karun1,    20 Crores,,,,,,,,Priyanshu Chatterjee,Neelima Azim,Rashmi Mishra
happy-married-life1,    20 Crores,,,,,,,,Manka Kaur,Sayyush Nayyar,
student-of-the-year,    65 Crores, U (INDIA),19-Oct-12, 2 HOURS  16 MINUTES,₹ 65 CRORES,"Comedy, Drama, Romance",Karan Johar,Shah Rukh Khan,Abhishek Varman,Sidharth Malhotra,Varun Dhawan
jeet,    16 Crores,,,,,,Raj Kanwar,Sajid Nadiadwala,Salman Khan,Tabu Hashmi,Karisma Kapoor
game-over,    31 Lakhs, A (INDIA),8-Dec-17, 2 HOURS  23 MINUTES,,"Thriller, Crime, Drama",Paresh Vinodray Savani,Paresh Vinodray Savani,Gurline Chopra,Gurleen Chopra,Yashpal Sharma
china-gate,    12 Crores,,,,,,Rajkumar Santoshi,Rajkumar Santoshi,Girish Karnad,Naseeruddin Shah,Ila Arun
city-of-gold-mumbai-1982-ek-ankahee-kahani,    12 Crores, U/A (INDIA),23-Apr-10, 2 HOURS  25 MINUTES,,"Crime, Drama, Action, Adventure, Fantasy",Mahesh Manjrekar,Arun Rangachari,Terry Cunningham,Ankush Chaudhari,Seema Biswas
dosti-friends-forever,    23 Crores,,,,,,Suneel Darshan,Suneel Darshan,Akshay Kumar,Kareena Kapoor Khan,Juhi Chawla
ravan-raaj-a-true-story,    23 Crores,,,,,,,,Mithun Chakraborty,Madhoo,Paresh Rawal
lallan-from-allahabad,    23 Crores,,,,,,,,Vikkas Vick,,
state-vs-malti-mhaske,    23 Crores,,,,,,,,Divya Menon,Sagar Deshmukh,Smita Tambe
ramji-londonwaley,    1 Crores,,2-Sep-05, 2 HOURS  34 MINUTES,₹ 4 CRORES,"Comedy, Drama, Family, Romance",Sanjay Dayma,Sunanda Murali Manohar,R Madhavan,Amitabh Bachchan,Vishwa Bhanu
gauraiya,    4 Lakhs,,,,,,Rajesh Hans,Bhojraj Guneja,Sachin Srivastav,Ashok Chalana,Sunil Jha
raakh1,    4 Lakhs,,,,,,Milap Jhaveri,Komal Kewlani,Richa Chadda,Vir Das,Shaad Randhawa
dobaara-see-your-evil,    1 Crores, A (INDIA),21-Sep-18, 1 HOUR  7 MINUTES,₹ 10 CRORES,"Drama, Horror, Romance",Prawaal Raman,Sunil Shah,Parvathy Omanakuttan,Saqib Saleem,Huma Qureshi
a-monsoon-date,    1 Crores,,,,,,Tanuja Chandra,,Konkona Sen Sharma,Roshni Ghosh,Prasad Reddy
force-2,    31 Crores, U/A (INDIA),17-Nov-16, 2 HOURS  6 MINUTES,₹ 41 CRORES,"Action, Adventure, Crime, Mystery, Thriller, Drama",Abhinay Deo,Vipul Amrutlal Shah,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin
masti1,    7 Lakhs,,,,,,Indra Kumar,Indra Kumar,Ajay Devgan,Riteish Deshmukh,Genelia D Souza
agni-sakshi2,    19 Crores,,,,,,Partho Ghosh,,Nana Patekar,Manisha Koirala,Jackie Shroff
iyatta,    19 Crores,,,,,,Jayant Digambar Somalkar,,Shubhangi Bhujbal Savarkar,Shefali Bhushan,Jayant Digambar Somalkar
phir-bhi-dil-hai-hindustani,    10 Crores,,,,,,Aziz Mirza,Shah Rukh Khan,Shah Rukh Khan,Juhi Chawla,Paresh Rawal
made-in-china1,    10 Crores, U/A (INDIA),25-Oct-19,,₹ 30 CRORES,"Drama, Comedy",Mikhil Musale,Dinesh Vijan,Jay Bhatt,Jeffrey Ho,Amyra Dastur
billu,    22 Crores,,12-Feb-09, 2 HOURS  17 MINUTES,₹ 27 CRORES,"Comedy, Drama, Musical",Priyadarshan Nair,,Deepika Padukone,Priyanka Chopra,Irrfan Khan
dhol,    16 Crores, U (INDIA),14-Sep-07, 2 HOURS  22 MINUTES,₹ 14 CRORES,"Comedy, Crime, Mystery, Thriller",Priyadarshan Nair,Satish Kaushik,Sharman Joshi,Tanushree Dutta,Tusshar Kapoor
lucknow-central,    11 Crores, U/A (INDIA),14-Sep-17, 2 HOURS  27 MINUTES,₹ 30 CRORES,"Action, Crime, Drama, Music, Thriller",Ranjit Tiwari,Madhu Bhojwani,Farhan Akhtar,Gippy Grewal,Deepak Dobriyal
a-gentleman,    38 Crores, U/A (INDIA),25-Aug-17, 2 HOURS  12 MINUTES,₹ 60 CRORES,"Action, Comedy, Romance, Thriller",Raj Nidimoru,Vijay Singh,Krishna D.k.,Krishna Dk,Sidharth Malhotra
commando-a-one-man-army,    21 Crores, U/A (INDIA),11-Apr-13, 2 HOURS  0 MINUTE,₹ 17 CRORES,"Action, Adventure, Drama, Romance, Thriller",Dilip Ghosh,Vipul Shah,Jigar Gill,Hsieh Chang Hai,Nelson Liao Sheng Hua
kasba,    ,,,,,,Kumar Shahani,,Raghuvir Yadav,Shatrughan Sinha,Mita Vasisht
baa-baaa-black-sheep,    23 Lakhs, U/A (INDIA),23-Mar-18,,,"Action, Comedy, Crime, Romance, Thriller",Vishwas Pandya,Anand Swarup Agarwal,Anupam Kher,Manish Wadhwa,Kay Kay Menon
gutrun-gutargun,    23 Lakhs,,,,,,Pratik Sharma,Asmita Sharma,Dheeraj Kamble,Chandra Shekhar,Asmita Sharma
jaalsaaz1,    23 Lakhs,,,,,,,,Shalini Kumar,Mohnish Bahl,Madhoo
jai-mata-di,    23 Lakhs,,,,,,,,Shiv Pandit,Shriya Pilgaonkar,Manu Rishi Chadha
khaney-mein-kya-hai,    23 Lakhs,,,,,,,,Shikha Talsania,Ayesha Raza,Swachata Guha
farzeen-a-conspiracy-theory,    23 Lakhs,,,,,,,,Tom Alter,Surya Kant,Anand Jha
dilli-vala-dost1,    23 Lakhs,,,,,,,,Kanwal Preet,Drishtti Grewal,Karan Battan
daddy,    10 Crores, A (INDIA),7-Sep-17, 2 HOURS  15 MINUTES,,"Action, Biography, Crime, Drama, History",Ashim Ahluwalia,Arjun Rampal,Gaurav Bavdankar,Arjun Rampal,Farhan Akhtar
dilwale,    139 Crores, U/A (INDIA),17-Dec-15, 2 HOURS  35 MINUTES,₹ 165 CRORES,"Action, Comedy, Crime, Drama, Romance, Musical",Rohit Shetty,Rohit Shetty,Kriti Sanon,Varun Dhawan,Kajol Devgn
chori-chori-chupke-chupke,    18 Crores,,,,,,Abbas Alibhai Burmawalla,Bharat S Shah,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla
anwar,    8 Lakhs,,12-Jan-07, 2 HOURS  24 MINUTES,₹ 3 CRORES,"Drama, Romance, Thriller",Manish Jha,Rajesh Singh,Manish Jha,Manisha Koirala,Siddharth Koirala
woh-lamhe,    6 Crores, A (INDIA),29-Sep-06, 2 HOURS  12 MINUTES,₹ 7 CRORES,"Biography, Drama, Romance",Mohit Suri,Mukesh Bhatt,Kangana Ranaut,Shiney Ahuja,Mirza Abbas Ali
train-to-pakistan,    7 Lakhs,,,,,,Pamela Rooks,Pamela Rooks,Smriti Mishra,Jaswant Daman,Mohan Agashe
school-teacher,    4 Lakhs,,,,,,Laxman Yaara,Ak Ansari,Gayatri Singh,Ajay Bafna,Ak Ansari
singh-is-bliing,    116 Crores, U/A (INDIA),1-Oct-15, 2 HOURS  21 MINUTES,₹ 91 CRORES,"Action, Comedy, Drama, Romance",Prabhu Dheva,Ashvini Yardi,Akshay Kumar,Shahid Kapoor,Amy Jackson
jab-harry-met-sejal1,    62 Crores, U/A (INDIA),3-Aug-17, 2 HOURS  23 MINUTES,₹ 119 CRORES,"Comedy, Drama, Romance, Romantic comedy",Imtiaz Ali,Gauri Khan,Anushka Sharma,Shah Rukh Khan,Rana Ranbir
golmaal-again,    205 Crores, U/A (INDIA),19-Oct-17, 2 HOURS  31 MINUTES,₹ 142 CRORES,"Action, Comedy, Fantasy, Horror",Rohit Shetty,Ajay Devgan,Deepika Padukone,Ajay Devgan,Nana Patekar
